Sample,PvP01_14_v1:763508,PvP01_03_v1:823594,PvP01_10_v1:184645,PvP01_10_v1:483568,PvP01_12_v1:377299,PvP01_11_v1:1364199,PvP01_10_v1:480601,PvP01_13_v1:1332969,PvP01_14_v1:1272043,PvP01_14_v1:460513,PvP01_12_v1:1695950,PvP01_10_v1:383155,PvP01_12_v1:1127030,PvP01_12_v1:1738799,PvP01_13_v1:66121,PvP01_14_v1:2339401,PvP01_10_v1:256817,PvP01_05_v1:1278457,PvP01_06_v1:882660,PvP01_14_v1:1160762,PvP01_11_v1:1137410,PvP01_06_v1:923512,PvP01_08_v1:879062,PvP01_03_v1:764851,PvP01_09_v1:1101235,PvP01_08_v1:1420994,PvP01_13_v1:516924,PvP01_14_v1:1229487,PvP01_14_v1:2566159,PvP01_12_v1:553265,PvP01_05_v1:1052474,PvP01_11_v1:371608,PvP01_06_v1:646186,PvP01_09_v1:303291,PvP01_12_v1:2324641,PvP01_12_v1:1116377,PvP01_09_v1:924204,PvP01_05_v1:1286077,PvP01_07_v1:595236,PvP01_06_v1:757119,PvP01_07_v1:507890,PvP01_14_v1:1343648,PvP01_08_v1:1506827,PvP01_07_v1:1137322,PvP01_14_v1:344881,PvP01_12_v1:338808,PvP01_09_v1:1169264,PvP01_14_v1:1270401,PvP01_10_v1:1131031,PvP01_08_v1:442363,PvP01_11_v1:1724604,PvP01_12_v1:882252,PvP01_14_v1:1349891,PvP01_10_v1:165046,PvP01_14_v1:2907128,PvP01_03_v1:850299,PvP01_09_v1:1547999,PvP01_09_v1:735276,PvP01_09_v1:1884013,PvP01_05_v1:1020519,PvP01_03_v1:384548,PvP01_05_v1:452615,PvP01_04_v1:400824,PvP01_14_v1:2921425,PvP01_02_v1:355597,PvP01_12_v1:1463080,PvP01_11_v1:384043,PvP01_08_v1:555644,PvP01_11_v1:550783,PvP01_09_v1:644970,PvP01_07_v1:427785,PvP01_12_v1:1988355,PvP01_08_v1:956216,PvP01_01_v1:746509,PvP01_05_v1:693449,PvP01_06_v1:645726,PvP01_13_v1:485833,PvP01_14_v1:138349,PvP01_13_v1:699780,PvP01_05_v1:1285366,PvP01_04_v1:341631,PvP01_14_v1:446323,PvP01_11_v1:1226906,PvP01_03_v1:184372,PvP01_14_v1:1266326,PvP01_11_v1:1345904,PvP01_11_v1:503992,PvP01_11_v1:1448769,PvP01_12_v1:1400307,PvP01_02_v1:491114,PvP01_09_v1:339310,PvP01_13_v1:1209242,PvP01_11_v1:516764,PvP01_13_v1:1340035,PvP01_13_v1:1036146,PvP01_12_v1:1512622,PvP01_14_v1:1258544,PvP01_11_v1:108593,PvP01_03_v1:220999,PvP01_13_v1:411903,PvP01_02_v1:718939,PvP01_05_v1:1049754,PvP01_09_v1:448825,PvP01_11_v1:1868012,PvP01_04_v1:776919,PvP01_05_v1:1079461,PvP01_07_v1:261070,PvP01_14_v1:1348961,PvP01_10_v1:671286,PvP01_12_v1:2057371,PvP01_13_v1:1661666,PvP01_05_v1:1045059,PvP01_12_v1:2353408
PJ0313-C,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,T,G,T,C,A,C,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,G,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PJ0314-C,A,G,G,G,T,A,G,T,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,C,G,C,A,C,T,G,G,T,C,G,G,A,C,G,T,A,C,C
PJ0315-C,N,G,G,G,T,A,G,C,T,N,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,N,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PJ0316-C,A,G,G,G,T,C,G,T,T,A,C,T,T,C,A,C,C,C,C,C,C,C,T,C,A,T,C,T,C,T,G,A,T,T,C,C,C,G,G,G,T,T,A,C,G,G,C,G,A,T,C,G,G,T,G,C,T,G,T,C,A,G,G,C,C,G,C,C,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PJ0317-C,A,G,G,G,T,A,G,C,T,G,C,T,T,C,T,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,C,C,G,G,C,G,G,G,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,C,G,A,C,G,T,A,C,C
PJ0318-C,C,G,G,G,T,C,G,C,T,G,C,G,T,C,A,C,C,C,C,C,C,C,T,T,A,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,C,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,A,T,G,G,A,G,A,A,A,A,G,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PJ0319-C,A,G,G,G,T,A,G,T,T,G,C,T,T,C,A,C,C,C,C,C,C,C,T,T,G,T,C,G,C,T,G,A,T,N,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,G,C,G,G,G,G,C,T,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,N,A,A,A,T,G,T,G,G,A,G,A,A,A,N,C,G,G,G,C,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PJ0320-C,N,G,G,G,T,N,G,N,T,N,C,N,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,N,G,C,G,G,T,G,C,N,G,T,C,A,G,G,C,C,G,C,N,C,G,G,C,G,G,T,N,A,A,A,T,N,T,G,G,A,G,A,N,A,A,C,G,G,G,N,G,C,A,C,N,G,G,C,C,N,G,A,C,G,T,A,C,C
PJ0321-C,C,G,G,G,T,A,G,T,T,G,C,G,T,C,T,C,C,C,C,C,C,C,T,C,A,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,C,G,A,C,G,T,A,C,C
PJ0322-C,N,G,G,G,T,A,G,C,T,A,C,N,T,C,A,C,C,C,C,C,C,C,T,C,N,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,N,C,N,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,N,G,A,C,G,T,A,C,C
PJ0323-C,C,G,G,G,T,C,G,T,T,A,C,T,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,A,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,C,G,C,A,C,T,G,G,C,A,G,G,A,C,G,T,A,C,C
PJ0324-C,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,G,C,T,G,A,T,T,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,G,C,G,T,A,C,C
PN0017-CW,N,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,N,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,N,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,N,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0046-C,A,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0047-CW,C,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,N,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,N,C,G,G,T,G,C,N,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,N,T,N,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,N,G,G,N,C,G,G,A,C,G,T,A,C,C
PN0048-C,C,G,G,G,T,C,G,C,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,G,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,G,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0050-C,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,C,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,C,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0051-C,A,X,G,G,X,C,X,X,X,A,C,G,X,C,X,C,X,X,C,X,C,X,T,X,X,X,X,X,X,X,X,X,X,X,C,C,C,G,X,G,T,T,X,C,X,G,X,X,X,X,C,G,G,X,G,C,C,X,X,X,A,G,G,C,C,G,C,X,C,X,X,X,G,G,X,G,A,X,X,T,X,X,G,G,X,G,A,X,X,A,X,X,G,G,T,G,X,A,C,T,X,X,C,C,X,G,A,C,G,T,A,C,X
PN0065-C,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0065-Cx,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,G,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0066-C,N,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,C,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,N,A,A,N,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0067-C,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,G,G,A,A,G,T,A,T,G,G,A,G,A,A,A,G,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0067-Cx,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,G,G,A,A,G,T,A,T,G,G,A,G,A,A,A,G,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0068-C,N,G,G,G,T,N,N,N,T,N,C,N,T,C,A,C,C,C,C,C,C,C,A,N,G,T,T,N,C,T,G,A,N,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,N,N,C,G,G,T,N,N,N,G,T,C,N,G,N,C,C,G,C,N,C,N,N,C,G,G,T,N,A,A,N,T,A,T,G,G,N,N,A,A,A,N,N,G,G,G,C,G,C,A,C,T,G,G,N,C,G,G,A,C,G,T,A,C,C
PN0068-Cx,C,G,G,G,T,C,G,C,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,N,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0069-C,X,X,X,X,X,C,X,X,X,X,C,X,T,X,X,X,X,C,X,C,X,X,X,T,X,T,C,X,C,X,G,A,X,X,C,C,X,X,G,X,T,X,X,C,T,X,C,G,G,G,C,G,X,T,G,X,X,X,X,C,X,G,G,C,X,G,X,X,C,A,X,C,X,G,X,X,A,A,A,T,X,T,G,X,X,C,X,X,A,X,G,X,G,G,X,X,C,X,C,X,X,X,C,C,G,G,X,C,G,X,X,X,C
PN0070-C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X
PN0071-C,X,X,X,X,X,X,X,X,X,A,C,X,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,C,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,G,X,X,X,X,X,G,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,G,X,X,X,A,X,X,X,G,X,X,X,G,X,A,X,X,X,G,X,X,X,G,X,X,X,X,X,X,X
PN0071-CW,X,G,G,X,X,X,G,N,X,X,C,X,X,X,X,X,X,C,C,X,C,X,X,C,X,X,X,X,X,X,X,X,X,C,X,X,X,X,G,X,X,T,X,C,X,X,X,G,G,G,C,X,G,T,X,C,X,G,T,X,X,G,G,C,X,G,X,X,X,G,X,X,X,X,X,X,X,X,A,T,X,T,X,X,A,X,X,A,X,A,C,X,X,G,C,G,C,X,C,X,X,G,C,C,X,X,X,C,X,T,X,X,C
PN0072-C,X,X,X,X,T,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,C,X,X,X,T,X,X,C,C,G,X,X,X,T,X,X,X,G,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,G,X,X,X,G,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,G,C,X,X,X,X,X,X,C,X,X,X,X,X,T,X,X,X
PN0072-CW,X,G,G,G,T,C,G,N,X,X,X,X,T,X,A,C,C,C,C,X,C,X,T,C,X,T,X,X,X,T,G,X,X,C,C,C,C,G,X,X,T,T,X,X,T,X,T,G,G,X,X,G,G,G,X,C,C,G,X,X,X,X,X,C,C,X,C,T,X,X,G,C,X,X,T,A,A,A,X,X,X,T,G,X,A,X,A,A,A,A,C,G,X,G,X,G,C,A,C,X,X,G,C,C,X,G,X,C,G,X,A,X,C
PN0092-CW,C,G,G,G,T,X,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,X,G,X,T,C,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,G,C,G,G,T,G,C,C,G,T,C,X,X,X,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,N,T,G,T,G,G,A,G,X,A,A,N,C,G,G,G,X,G,C,A,C,X,G,G,N,C,X,X,A,C,G,T,X,X,C
PN0094-C,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,C,X,X,X,X,X,G,X,X,X,X,X,X,A,X,X,T,X,X,G,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,C
PN0095-C,C,G,G,G,T,C,G,T,T,N,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,C,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,X,A,A,A,A,T,A,T,G,G,N,G,A,A,A,A,C,G,G,G,X,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PN0096-C,X,X,X,G,T,X,X,X,T,A,C,X,X,X,X,C,X,X,X,C,X,C,T,X,G,T,X,X,X,X,X,X,X,C,C,C,X,X,G,G,X,X,X,X,T,X,C,G,G,X,X,X,X,X,G,C,X,X,T,C,A,X,G,X,X,X,X,X,C,X,X,C,X,X,X,X,X,X,X,X,X,T,G,X,A,X,X,X,A,X,X,G,G,X,T,G,C,X,C,X,X,X,C,X,G,X,A,X,X,X,A,C,C
PNG012,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,G,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,G,G,A,A,G,T,A,T,G,G,A,G,A,A,A,G,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG014,C,G,G,G,T,C,G,C,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,G,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,G,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG025,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,C,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,C,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG030,X,G,G,X,T,C,X,C,T,X,X,G,X,C,X,C,X,C,C,C,C,C,X,X,X,T,X,X,X,T,G,C,T,T,C,C,C,X,G,G,X,T,X,C,X,G,T,X,X,G,C,G,G,X,X,X,C,G,T,C,A,X,X,C,X,G,C,T,C,G,G,C,G,G,X,A,X,A,A,X,G,T,X,X,A,G,X,A,X,A,C,X,G,G,X,G,C,X,X,X,G,G,X,C,X,G,X,C,X,T,A,X,C
PNG045,X,X,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,X,T,X,A,X,X,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,G,X,X,C,X,X,X,X,X,X,X,X,A,X,X,X,X,G,X,X,X,X,X,X,A,X,X,G,G,X,X,X,A,C,X,X,X,X,X,X,X,X,C,X,T,X,X,C
PNG063,X,X,X,X,X,X,X,X,X,G,X,X,X,X,X,C,X,C,X,X,C,X,X,X,A,X,X,X,X,X,G,X,T,X,X,C,X,G,X,G,T,T,X,C,X,X,C,G,X,X,X,X,X,X,X,X,X,G,T,X,X,X,X,X,C,G,X,X,X,X,X,X,X,X,X,A,X,X,X,X,G,T,N,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,X,G,X,C,G,X,X,C,C
PNG070,C,G,G,G,T,C,G,T,N,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,N,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,N,C,C,G,C,T,N,G,G,C,G,G,T,N,A,A,A,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,N,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG076,N,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,A,T,N,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,G,C,G,G,N,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,N,T,N,T,G,G,A,G,A,A,A,N,C,G,G,G,T,G,C,A,C,N,N,G,C,C,G,G,A,C,G,T,A,C,C
PNG163,N,G,G,G,X,C,G,N,T,A,C,G,T,C,A,C,C,C,C,X,C,C,T,C,N,T,N,X,C,T,G,X,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,N,C,G,G,C,G,G,T,N,A,A,X,T,N,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,N,C,G,G,A,C,G,T,A,C,C
PNG172,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,N,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,G,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG175,N,G,G,G,T,C,G,T,T,A,C,N,T,C,A,C,C,C,C,C,C,C,T,C,G,T,N,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,N,G,G,G,C,G,G,G,A,A,A,N,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,N,G,C,C,G,G,A,C,G,T,A,C,C
PNG49,C,G,G,G,T,C,G,C,N,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,N,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,N,G,G,N,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,N,T,N,T,G,G,N,G,A,A,A,A,C,G,G,G,T,G,C,A,C,T,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG58,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,G,T,T,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,G,T,C,C,G,T,C,A,G,A,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,G,T,A,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG72,N,G,G,G,T,C,G,C,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,C,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,A,C,G,G,T,A,A,A,G,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,T,G,C,A,C,A,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG73,C,G,G,G,T,C,G,T,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,A,T,C,T,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,G,G,C,C,G,T,C,A,G,G,C,C,G,C,T,C,G,G,C,G,G,T,A,A,A,A,T,G,T,G,G,A,G,A,A,A,A,C,G,G,G,C,A,C,A,C,T,G,G,C,C,C,G,A,C,G,T,A,C,C
PNG90,X,X,X,X,X,A,X,X,X,G,X,G,X,C,X,X,X,C,X,X,C,C,X,X,X,X,X,X,X,X,X,X,X,C,X,X,X,G,X,X,X,X,A,X,X,X,C,X,G,X,C,X,X,X,X,X,C,X,X,X,X,X,X,X,X,X,X,T,X,X,X,X,G,X,X,X,X,X,X,X,X,T,G,X,A,X,X,X,X,X,X,X,X,X,X,G,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PNG_PVRVL1991,N,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,N,G,C,C,G,T,C,A,G,G,C,C,G,C,T,N,G,G,C,G,G,T,A,A,A,N,T,N,T,G,G,A,G,A,A,A,A,C,G,G,G,N,G,C,A,C,N,G,G,C,C,G,G,A,C,G,T,A,C,C
PNG_PVRVL1997,N,G,G,G,T,C,G,N,T,A,C,G,T,C,A,C,C,C,C,C,C,C,T,C,N,T,N,N,C,T,G,A,T,C,C,C,C,G,G,G,T,T,A,C,T,G,T,G,G,G,C,G,G,T,G,C,C,G,T,C,A,G,G,C,C,G,C,T,N,G,G,C,G,G,T,A,A,A,N,T,N,T,G,G,A,G,A,N,A,A,C,G,G,G,N,G,C,A,C,N,G,G,C,C,G,G,A,C,G,T,A,C,C
